"date" "group" "index" "return2006"
"1" 2000-01-01 "Securitization" 0 NA
"2" 2000-04-01 "Securitization" 2.37660876780114e-09 NA
"3" 2000-07-01 "Securitization" 6.50554879486005e-05 NA
"4" 2000-10-01 "Securitization" 0.000272800189707213 NA
"5" 2001-01-01 "Securitization" 0.000599181024084504 NA
"6" 2001-04-01 "Securitization" 0.000724658333068967 NA
"7" 2001-07-01 "Securitization" 0.000756487047987132 NA
"8" 2001-10-01 "Securitization" 0.000997158962043767 NA
"9" 2002-01-01 "Securitization" 0.00205451591178854 NA
"10" 2002-04-01 "Securitization" 0.00428255714004785 NA
"11" 2002-07-01 "Securitization" 0.00674121252807229 NA
"12" 2002-10-01 "Securitization" 0.00910649634098878 NA
"13" 2003-01-01 "Securitization" 0.0109041038877574 NA
"14" 2003-04-01 "Securitization" 0.0127813351381198 NA
"15" 2003-07-01 "Securitization" 0.0156156957149439 NA
"16" 2003-10-01 "Securitization" 0.0203683268583419 NA
"17" 2004-01-01 "Securitization" 0.0268972135191911 NA
"18" 2004-04-01 "Securitization" 0.0331664605694124 NA
"19" 2004-07-01 "Securitization" 0.039030286827189 NA
"20" 2004-10-01 "Securitization" 0.0449134703473239 NA
"21" 2005-01-01 "Securitization" 0.0523038900376648 NA
"22" 2005-04-01 "Securitization" 0.0609721989930533 NA
"23" 2005-07-01 "Securitization" 0.0685393860543164 NA
"24" 2005-10-01 "Securitization" 0.0732718511681906 NA
"25" 2006-01-01 "Securitization" 0.0756982072727608 NA
"26" 2006-04-01 "Securitization" 0.075730227250671 NA
"27" 2006-07-01 "Securitization" 0.0727832494829788 NA
"28" 2006-10-01 "Securitization" 0.0692767115140671 0
"29" 2007-01-01 "Securitization" 0.0657375152497403 0.00560120993429021
"30" 2007-04-01 "Securitization" 0.0613656064962968 0.0112798493025537
"31" 2007-07-01 "Securitization" 0.0535686097933456 0.0128950096867838
"32" 2007-10-01 "Securitization" 0.0402322024275996 0.00558806921470606
"33" 2008-01-01 "Securitization" 0.0247109251299121 -0.00798188815357155
"34" 2008-04-01 "Securitization" 0.0145179388827783 -0.0186853130394824
"35" 2008-07-01 "Securitization" 0.00340430643232667 -0.0276714274998846
"36" 2008-10-01 "Securitization" -0.0103865328540536 -0.0432754265810558
"37" 2009-01-01 "Securitization" -0.0261362761632586 -0.0645443918715571
"38" 2009-04-01 "Securitization" -0.0327608813723923 -0.073207894834252
"39" 2009-07-01 "Securitization" -0.0316964379694542 -0.0700678873566326
"40" 2009-10-01 "Securitization" -0.0317621527682851 -0.0686755081881233
"41" 2010-01-01 "Securitization" -0.0339363315796985 -0.071368803259713
"42" 2010-04-01 "Securitization" -0.0343062710256043 -0.0717305859279185
"43" 2010-07-01 "Securitization" -0.0340176591857465 -0.0701728178104666
"44" 2010-10-01 "Securitization" -0.0377551839378708 -0.0736258498885718
"45" 2000-01-01 "Equity Analysts" 0 NA
"46" 2000-04-01 "Equity Analysts" -4.25789568955026e-10 NA
"47" 2000-07-01 "Equity Analysts" 4.3569822446157e-05 NA
"48" 2000-10-01 "Equity Analysts" 0.000305475434600415 NA
"49" 2001-01-01 "Equity Analysts" 0.000677814414819505 NA
"50" 2001-04-01 "Equity Analysts" 0.000693955937707502 NA
